ԱԱ	ɑ ɑ́
ԱԱԱԿ	ɑ ɑ ɑ́ ɡ
ԱԱԲ	ɑ ɑ pʰ ə́
ԱԱԳ	ɑ ɑ kʰ ə́
ԱԱԳԽ	ɑ ɑ kʰ ə χ ə́
ԱԱԻ	ɑ ɑ j í
ԱԱԽ	ɑ ɑ χ ə́
ԱԱԾ	ɑ ɑ d͡z ə́
ԱԱԿ	ɑ ɑ ɡ ə́
ԱԱՀ	ɑ ɑ h ə́
ԱԱՀՀԻ	ɑ ɑ h ə h ə í
ԱԱՆ	ɑ ɑ n ə́
ԱԱՊ	ɑ ɑ b ə́
ԱԱՊԲ	ɑ ɑ b ə pʰ ə́
ԱԱՊՎ	ɑ ɑ b ə v ə́
ԱԱՌ	ɑ ɑ r ə́
ԱԳՆ	ɑ kʰ ə n ə́
ԱԶԲ	ɑ z ə pʰ ə́
ԱԹՍ	ɑ tʰ ə s ə́
ԱԺ	ɑ ʒ ə́
ԱՄԷ	ɑ m ə é
ԱՄՆ	ɑ m ə n ə́
ԱՊՀ	ɑ b ə h ə́
Աարե	ɑ ɑ ɾ é
Աբադան	ɑ pʰ ɑ tʰ ɑ́ n
Աբայ	ɑ pʰ ɑ́ j
Աբաջյան	ɑ pʰ ɑ t͡ʃʰ j ɑ́ n
Աբաս	ɑ pʰ ɑ́ s
Աբասթուման	ɑ pʰ ɑ s tʰ u m ɑ́ n
Աբարան	ɑ pʰ ɑ ɾ ɑ́ n
Աբգար	ɑ pʰ kʰ ɑ́ ɾ
Աբգարյան	ɑ pʰ kʰ ɑ ɾ j ɑ́ n
Աբել	ɑ pʰ é l
Աբեղյան	ɑ pʰ e ʁ j ɑ́ n
Աբերդին	ɑ pʰ e ɾ tʰ í n
Աբիջան	ɑ pʰ i t͡ʃʰ ɑ́ n
Աբիսողոմ	ɑ pʰ i s o ʁ ó m
Աբխազիա	ɑ pʰ χ ɑ́ z i j ɑ
Աբո	ɑ pʰ ó
Աբո	ɑ́ pʰ o
Աբովյան	ɑ pʰ o v j ɑ́ n
Աբուջա	ɑ pʰ ú t͡ʃʰ ɑ
Աբրահամ	ɑ pʰ ɾ ɑ h ɑ́ m
Աբրահամյան	ɑ pʰ ɾ ɑ h ɑ m j ɑ́ n
Աբրամ	ɑ pʰ ɾ ɑ́ m
Աբքայք	ɑ pʰ kʰ ɑ́ j kʰ
Ագա	ɑ kʰ ɑ́
Ագամեմնոն	ɑ kʰ ɑ m e m n ó n
Ագանյա	ɑ kʰ ɑ́ n j ɑ
Ագապի	ɑ kʰ ɑ b í
Ագարակ	ɑ kʰ ɑ ɾ ɑ́ ɡ
Ագարտալա	ɑ kʰ ɑ ɾ d ɑ l ɑ́
Ագինսկոյե	ɑ kʰ í n s k o j e
Ագրիպպաս	ɑ kʰ ɾ i bː ɑ́ s
Ադամ	ɑ tʰ ɑ m
Ադամյան	ɑ tʰ ɑ m j ɑ́ n
Ադանա	ɑ tʰ ɑ n ɑ́
Ադլեր	ɑ tʰ l é ɾ
Ադլեր	ɑ́ tʰ l e ɾ
Ադոնց	ɑ tʰ ó n t͡sʰ
Ադրբեջան	ɑ tʰ ə ɾ pʰ e t͡ʃʰ ɑ́ n
Ադրիանապոլիս	ɑ tʰ ɾ i j ɑ n ɑ b o l í s
Ադրիանոս	ɑ tʰ ɾ i j ɑ n ó s
Ազատ	ɑ z ɑ́ d
Ազնիվ	ɑ z n í v
Ազորներ	ɑ z o ɾ n é ɾ
Աթաբեկ	ɑ tʰ ɑ pʰ é ɡ
Աթանաս	ɑ tʰ ɑ n ɑ́ s
Աթենաս	ɑ tʰ e n ɑ́ s
Աթենք	ɑ tʰ é ŋ kʰ
Աժդահակ	ɑ ʃ tʰ ɑ h ɑ́ ɡ
Աիդա	ɑ j í tʰ ɑ
Ալադին	ɑ l ɑ tʰ í n
Ալազան	ɑ l ɑ z ɑ́ n
Ալանք	ɑ l ɑ́ ŋ kʰ
Ալավերդի	ɑ l ɑ v e ɾ tʰ í
Ալբանիա	ɑ l pʰ ɑ́ n i j ɑ
Ալբարյան	ɑ l pʰ ɑ ɾ j ɑ́ n
Ալբերտ	ɑ l pʰ é ɾ d
Ալեն	ɑ l é n
Ալեքսան	ɑ l e kʰ s ɑ́ n
Ալեքսանդր	ɑ l e kʰ s ɑ́ n tʰ ə ɾ
Ալեքսանդրապոլ	ɑ l e kʰ s ɑ n tʰ ɾ ɑ b ó l
